age,gender,city,occupation,monthlyIncome,coffeeFrequency,preferredCoffeeType,preferredBrand,monthlyCoffeeSpend,purchaseLocation,purchaseMode,priceSensitivity,tastePreference,brandLoyalty,willingnessToTry,preferredPriceRange,purchaseIntention
21.0,Female,Delhi,Student,125000.0,Daily,Filter coffee,Sleepy owl,4000.0,Supermarket/Grocery Store,Online,Neutral,Strong,I Like To Explore,Somewhat Willing,950.0,High
20.0,Male,Delhi,Student,125000.0,Daily,Flavoured / specialty,Bru,4000.0,Cafe,Both equally,Neutral,Smooth And Strong,I Like To Explore,Only With A Recommendation,150.0,Definitely Would Buy
21.0,Female,Delhi,Engineering Student,48826.8352365416,sometimes,Other,Starbucks,568.1544443439732,Cafe,Offline,Somewhat Sensitive,Sweet,Very Loyal,Only With A Recommendation,150.0,High
21.0,Male,Delhi,Student,48826.8352365416,few,Cold brew,Nescafé,2400.0,Supermarket,Offline,Very Sensitive,Strong,Very Loyal,Very Willing,400.0,Definitely Would Buy
22.0,Female,Delhi,Student,48826.8352365416,Rarely,Instant Coffee,Death wish coffee,2400.0,App,Online,Neutral,Strong Coffee,I Like To Explore,Only With A Recommendation,950.0,Not Sure
22.0,Male,Delhi,Student,48826.8352365416,sometimes,Other,Nescafé,490.0,Cafe,Offline,Neutral,Smooth,No Preference,Not Currently Interested,150.0,Not Sure
22.0,Male,Delhi,Student,48826.8352365416,few,Instant Coffee,Bru,700.0,Supermarket,Both equally,Neutral,Sweet,I Like To Explore,Somewhat Willing,400.0,Not Sure
20.0,Male,Delhi,Buisness,48826.8352365416,sometimes,Instant Coffee,Nescafé,568.1544443439732,Online,Online,Medium,Balanced,Medium,Likely,400.0,Not Sure
100.0,Male,Andman,On Bed,125000.0,Daily,Instant Coffee,Nescafé,568.1544443439732,Supermarket/Grocery Store,Offline,Medium,Balanced,Medium,Likely,270.14288298064747,High
20.0,Male,Delhi,Student,48826.8352365416,few,Instant Coffee,Nescafé,490.0,Supermarket/Grocery Store,Offline,Medium,Sweet,Medium,Likely,270.14288298064747,High
21.0,Male,Delhi,Student,12500.0,Rarely,Other,Starbucks,490.0,Dine in,Offline,Neutral,Smooth,I Like To Explore,Somewhat Willing,400.0,Probably Would Buy
20.0,Male,Delhi,Student,48826.8352365416,few,Filter coffee,Nescafè,568.1544443439732,Supermarkets,Offline,Medium,Bitter-Sweet,Somewhat Loyal,Somewhat Willing,270.14288298064747,Probably Would Buy
22.0,Male,Dehradun,Student,48826.8352365416,few,Cold brew,Brew,4000.0,Delhi,Both equally,Neutral,Strong,I Like To Explore,Not Currently Interested,2000.0,Probably Would Not Buy
20.0,Male,New delhi,Student,48826.8352365416,sometimes,Instant Coffee,Nescafé,490.0,Supermarket/Grocery Store,Offline,Very Sensitive,Strong,I Like To Explore,Likely,270.14288298064747,High
22.0,Male,Delhi,Student,12500.0,Daily,Instant Coffee,Nescafé,490.0,Najafgarh,Offline,Neutral,Strong,Very Loyal,Only With A Recommendation,950.0,Definitely Would Buy
18.0,Female,Delhi,Student,125000.0,few,Instant Coffee,Nescafé,568.1544443439732,Supermarket/Grocery Store,Offline,Medium,Balanced,Medium,Likely,270.14288298064747,High
21.0,Male,Delhi,Student,48826.8352365416,sometimes,Instant Coffee,Bru,490.0,Home Made,Offline,Neutral,Smooth,No Preference,Only With A Recommendation,150.0,Probably Would Buy
21.0,Male,Delhi,Student,125000.0,Daily,Instant Coffee,Coca cola,4000.0,Vishal mega mart,Online,Very Sensitive,Balanced,Very Loyal,Very Willing,2000.0,Definitely Would Buy
30.0,Male,Delhi,employee,48826.8352365416,few,Instant Coffee,Nescafe & Bru,490.0,Metro Mall,Offline,Neutral,Strong & Lite Sweet,Very Loyal,Somewhat Willing,400.0,Not Sure
30.48743900234954,Female,Delhi,Private Sector Employee,48826.8352365416,Rarely,Filter coffee,Nescafé,568.1544443439732,Supermarket/Grocery Store,Offline,Medium,Balanced,Medium,Likely,270.14288298064747,High
21.0,Male,Kanpur,Student,48826.8352365416,Rarely,Instant Coffee,Nescafé,490.0,cafe,Offline,Very Sensitive,Smooth,No Preference,Not Currently Interested,150.0,Not Sure
21.0,Female,New Delhi,Student,48826.8352365416,Daily,Instant Coffee,Nescafé,490.0,Supermarket/Grocery Store,Online,Neutral,Strong,Somewhat Loyal,Somewhat Willing,400.0,Not Sure
21.0,Male,Araria,Student,48826.8352365416,Daily,Instant Coffee,Nescafé,4000.0,Supermarket/Grocery Store,Online,Not Very Sensitive,Sweet,I Like To Explore,Somewhat Willing,2000.0,Probably Would Buy
25.0,Male,Noida,Engineer,75000.0,Daily,Cold brew,Nestle',2400.0,Cafe,Offline,Neutral,Strong,Very Loyal,Only With A Recommendation,150.0,Definitely Would Buy
27.0,Male,Delhi,Teacher,37500.0,few,Other,Nescafé,490.0,Anywhere,Offline,Very Sensitive,Mild,No Preference,Very Willing,150.0,Definitely Would Buy
20.0,Female,Delhi,Student,48826.8352365416,sometimes,Instant Coffee,Nescafé,490.0,Normal shops,Offline,Medium,Strong,Very Loyal,Somewhat Willing,950.0,Probably Would Buy
18.0,Male,Bihar,Business,37500.0,Daily,Instant Coffee,bru,700.0,cafe,Online,Somewhat Sensitive,Strong,Somewhat Loyal,Very Willing,950.0,Definitely Would Buy
21.0,Male,Delhi,Student,48826.8352365416,sometimes,Instant Coffee,Nescafé,490.0,Supermarket/Grocery Store,Offline,Medium,Smooth,Medium,Likely,270.14288298064747,High
21.0,Male,Delhi,Student,12500.0,Daily,Espresso / black coffee,Nescafé,2400.0,Supermarket/Grocery Store,Offline,Neutral,Strong,Somewhat Loyal,Only With A Recommendation,400.0,Definitely Would Buy
22.0,Male,Delhi,Student,48826.8352365416,sometimes,Instant Coffee,Nescafé,490.0,Supermarket/Grocery Store,Offline,Somewhat Sensitive,Balanced,Somewhat Loyal,Somewhat Willing,150.0,Probably Would Buy
30.48743900234954,Female,Rohtak,Homemaker,48826.8352365416,Rarely,Instant Coffee,Bru gold,490.0,Cafe,Both equally,Neutral,Smooth,I Like To Explore,Not Currently Interested,400.0,Not Sure
22.0,Male,Delhi,Student,12500.0,Daily,Filter coffee,Bru,4000.0,D Mart,Offline,Neutral,Strong,I Like To Explore,Somewhat Willing,400.0,Probably Would Buy
36.0,Male,Bengaluru,Business,125000.0,Daily,Espresso / black coffee,Nestlé,700.0,App,Online,Neutral,Swooth,No Preference,Somewhat Willing,950.0,Not Sure
21.0,Female,Delhi,Student,12500.0,few,Instant Coffee,Bevzilla,490.0,Online,Online,Somewhat Sensitive,Sweet,Somewhat Loyal,Only With A Recommendation,400.0,Not Sure
45.0,Female,Noida,Banker,48826.8352365416,sometimes,Instant Coffee,Davidoff,490.0,Ship,Offline,Very Sensitive,Smooth,Very Loyal,Only With A Recommendation,2000.0,Definitely Would Buy
30.48743900234954,Male,Delhi,Private Sector Employee,48826.8352365416,Daily,Instant Coffee,Bru,2400.0,Supermarket/Grocery Store,Offline,Medium,Strong,I Like To Explore,Likely,270.14288298064747,High
24.0,Female,Delhi,Nurse,12500.0,Daily,Instant Coffee,Nescafé,568.1544443439732,Rohini,Online,Medium,Balanced,Medium,Very Willing,150.0,Not Sure
30.48743900234954,Female,New Delhi,Homemaker,48826.8352365416,Rarely,Instant Coffee,Bru gold,490.0,App,Online,Very Sensitive,Sweet,Somewhat Loyal,Not Currently Interested,400.0,Not Sure
21.0,Male,New delhi,Student,12500.0,Daily,Other,Blue tokai,700.0,App,Online,Very Sensitive,Strong,I Like To Explore,Very Willing,400.0,Not Sure
22.0,Female,Delhi,Student,48826.8352365416,Daily,Instant Coffee,Nescafé,568.1544443439732,Supermarket,Offline,Medium,Balanced,Medium,Likely,270.14288298064747,High
34.0,Male,Delhi,Trainer,37500.0,few,Filter coffee,Sleepy owl,490.0,Supermarket,Both equally,Somewhat Sensitive,Sweet Strong,Very Loyal,Very Willing,950.0,Definitely Would Buy
30.48743900234954,Female,Kanpur,Student,48826.8352365416,Rarely,Instant Coffee,Davidoff,490.0,APP,Both equally,Neutral,Strong,I Like To Explore,Very Willing,950.0,Probably Would Buy
22.0,Female,Delhi,Student,48826.8352365416,Daily,Espresso / black coffee,Nescafé,700.0,Supermarket,Both equally,Not Very Sensitive,Strong,I Like To Explore,Somewhat Willing,950.0,Definitely Would Buy
25.0,Male,Dwarka,Designer,125000.0,Daily,Filter coffee,Blue Tokai,4000.0,Dwarka Mor,Offline,Neutral,Strong,I Like To Explore,Somewhat Willing,950.0,Probably Would Buy
22.0,Female,Delhi,Employee,12500.0,few,Filter coffee,Blue Tokai,490.0,Cafe,Both equally,Neutral,Sweet,I Like To Explore,Very Willing,400.0,Probably Would Buy
21.0,Male,Delhi,Student,48826.8352365416,Rarely,Instant Coffee,Nescafé,490.0,Supermarket,Offline,Neutral,Strong,Very Loyal,Not Currently Interested,150.0,Not Sure
30.48743900234954,Female,New Delhi,Student,48826.8352365416,Daily,Other,Davidoff,568.1544443439732,Supermarket,Both equally,Medium,Strong,I Like To Explore,Only With A Recommendation,150.0,Probably Would Buy
23.0,Male,Delhi,Student,12500.0,sometimes,Instant Coffee,davidoff,700.0,Online,Online,Not Very Sensitive,Strong,Very Loyal,Only With A Recommendation,400.0,Definitely Would Buy
22.0,Male,Delhi,Student,48826.8352365416,Daily,Instant Coffee,Nescafé,568.1544443439732,Ccd,Offline,Medium,Balanced,Medium,Somewhat Willing,400.0,Definitely Would Buy
23.0,Male,Delhi,Student,48826.8352365416,sometimes,Espresso / black coffee,Nescafé,700.0,Buddh Vihar,Offline,Not Very Sensitive,Strong,Very Loyal,Not Currently Interested,950.0,Probably Would Buy
45.0,Male,Noida,Communication Professional,125000.0,Daily,Instant Coffee,Nescafé,2400.0,Grocery store,Offline,Somewhat Sensitive,Strong,Very Loyal,Only With A Recommendation,950.0,Not Sure
32.0,Male,Delhi,Business,37500.0,few,Instant Coffee,Nescafé,568.1544443439732,Supermarket/Grocery Store,Offline,Medium,Balanced,Medium,Likely,270.14288298064747,High
54.0,Male,Delhi,Teacher,75000.0,sometimes,Filter coffee,Nescafé,490.0,Shop,Offline,Medium,Smooth,Very Loyal,Somewhat Willing,400.0,Probably Would Buy
21.0,Female,Delhi,Student,12500.0,sometimes,Espresso / black coffee,Nescafé,490.0,Cafe,Both equally,Neutral,Smooth,I Like To Explore,Very Willing,150.0,Definitely Would Buy
28.0,Female,Delhi,DESIGNER,37500.0,sometimes,Espresso / black coffee,BLUE TOKI,2400.0,Supermarket,Both equally,Not Very Sensitive,Sweet,Very Loyal,Very Willing,950.0,Not Sure
21.0,Male,Delhi,Sutdent,125000.0,Daily,Cold brew,Nestlé,700.0,App,Both equally,Neutral,Swooth,I Like To Explore,Only With A Recommendation,400.0,Probably Would Buy
21.0,Male,delhi,student,37500.0,Daily,Espresso / black coffee,nescafe,700.0,supermarket,Offline,Somewhat Sensitive,Strong,Somewhat Loyal,Very Willing,400.0,Definitely Would Buy
21.0,Female,Greater noida,Student,48826.8352365416,sometimes,Flavoured / specialty,Blue tokai,490.0,Supermarket/Grocery Store,Offline,Medium,Balanced,Medium,Likely,270.14288298064747,High
37.0,Male,Hyderabad,Private employee,75000.0,Daily,Espresso / black coffee,Blue Tokai,700.0,Online,Online,Somewhat Sensitive,Mild Roast - Fruity,I Like To Explore,Very Willing,950.0,Probably Would Buy
29.0,Male,Surat,Private Sector Employee,28100.0,1-2 times/week,Espresso,Sleepy Owl,410.0,Local Kirana Store,Offline,Medium,Sweet,High,Neutral,130.0,Medium
38.0,Female,Chandigarh,IT Professional,88000.0,Daily,Cold Coffee,Bru,1110.0,Supermarket/Grocery Store,Both,Medium,Strong,Medium,Likely,300.0,High
24.0,Female,Jaipur,IT Professional,83800.0,Daily,Americano,Tata Coffee,940.0,Local Kirana Store,Both,Medium,Mild,Medium,Neutral,130.0,Medium
36.0,Male,Jaipur,Business Owner,124800.0,Daily,Espresso,Nescafé,1470.0,Office/Canteen,Both,Medium,Bitter,Medium,Neutral,90.0,Medium
18.0,Female,Hyderabad,Healthcare Professional,61000.0,1-2 times/week,Instant Coffee,Tata Coffee,230.0,Café,Offline,Medium,Mild,Medium,Very Likely,450.0,Medium
35.0,Male,Nagpur,Private Sector Employee,41200.0,3-4 times/week,Mocha,Bru,650.0,Local Kirana Store,Offline,Low,Sweet,High,Unlikely,300.0,High
34.0,Male,Patna,Student,10300.0,3-4 times/week,Instant Coffee,Sleepy Owl,310.0,Local Kirana Store,Both,Medium,Balanced,High,Likely,450.0,High
33.0,Female,Delhi,Healthcare Professional,38500.0,Rarely,Cappuccino,Sleepy Owl,200.0,Brand Website,Online,Low,Balanced,High,Likely,700.0,Medium
28.0,Male,Ahmedabad,Business Owner,106600.0,Daily,Espresso,Third Wave Coffee,1290.0,Local Kirana Store,Both,Medium,Balanced,Medium,Likely,130.0,High
24.0,Female,Pune,Student,12900.0,3-4 times/week,Other,Bru,320.0,Local Kirana Store,Offline,High,Mild,Low,Likely,450.0,High
36.0,Male,Coimbatore,Private Sector Employee,42800.0,1-2 times/week,Instant Coffee,Bru,300.0,Local Kirana Store,Offline,Medium,Sweet,Medium,Likely,90.0,Medium
23.0,Male,Mumbai,Private Sector Employee,41800.0,Daily,Cold Coffee,Nescafé,650.0,Supermarket/Grocery Store,Offline,High,Balanced,Medium,Likely,130.0,High
31.0,Male,Patna,Student,10700.0,Daily,Instant Coffee,Sleepy Owl,460.0,Office/Canteen,Offline,Medium,Balanced,Low,Very Likely,300.0,High
38.0,Female,Delhi,Business Owner,73200.0,3-4 times/week,Instant Coffee,Blue Tokai,400.0,Local Kirana Store,Offline,High,Balanced,High,Neutral,130.0,High
39.0,Female,Kolkata,Student,12200.0,3-4 times/week,Filter Coffee,Bru,310.0,Supermarket/Grocery Store,Offline,Low,Bitter,Medium,Unlikely,300.0,Medium
35.0,Female,Indore,Homemaker,27800.0,1-2 times/week,Cappuccino,Café Coffee Day,390.0,Office/Canteen,Offline,Medium,Strong,Medium,Very Likely,90.0,High
41.0,Male,Bhopal,Student,11400.0,Rarely,Latte,Tata Coffee,160.0,Brand Website,Online,High,Mild,High,Likely,300.0,Medium
35.0,Male,Kolkata,Student,11100.0,Rarely,Filter Coffee,Blue Tokai,120.0,Local Kirana Store,Both,Medium,Bitter,Low,Likely,300.0,Medium
28.0,Female,Hyderabad,Business Owner,79400.0,1-2 times/week,Cold Coffee,Blue Tokai,540.0,Café,Offline,Medium,Balanced,Medium,Neutral,130.0,Medium
31.0,Male,Mumbai,Business Owner,85000.0,3-4 times/week,Latte,Nescafé,1040.0,Café,Offline,High,Balanced,Medium,Very Likely,700.0,High
42.0,Male,Patna,Student,11500.0,3-4 times/week,Cappuccino,Café Coffee Day,360.0,Café,Offline,High,Sweet,Low,Unlikely,700.0,Low
27.0,Female,Chandigarh,Private Sector Employee,62000.0,3-4 times/week,Latte,Bru,830.0,Supermarket/Grocery Store,Offline,Medium,Strong,High,Very Likely,450.0,High
38.0,Male,Nagpur,Private Sector Employee,48700.0,3-4 times/week,Instant Coffee,Sleepy Owl,500.0,Supermarket/Grocery Store,Offline,Medium,Bitter,High,Likely,130.0,High
34.0,Male,Chandigarh,Private Sector Employee,47800.0,Daily,Instant Coffee,Other,620.0,Local Kirana Store,Offline,Low,Bitter,Low,Likely,300.0,Medium
40.0,Male,Pune,Private Sector Employee,40300.0,1-2 times/week,Espresso,Third Wave Coffee,410.0,Brand Website,Online,Low,Balanced,Medium,Neutral,300.0,Medium
24.0,Female,Bengaluru,Freelancer,32800.0,Daily,Cold Coffee,Blue Tokai,710.0,Café,Offline,High,Balanced,Low,Likely,130.0,Medium
22.0,Male,Bengaluru,Private Sector Employee,46600.0,Daily,Cappuccino,Sleepy Owl,810.0,Café,Offline,Low,Sweet,Medium,Neutral,300.0,High
32.0,Female,Bengaluru,Healthcare Professional,71400.0,Daily,Filter Coffee,Third Wave Coffee,720.0,Local Kirana Store,Offline,Low,Strong,Medium,Likely,450.0,High
46.0,Male,Jaipur,IT Professional,87600.0,3-4 times/week,Latte,Blue Tokai,930.0,Office/Canteen,Offline,Low,Mild,Medium,Likely,300.0,High
42.0,Female,Chennai,Private Sector Employee,53800.0,Daily,Latte,Tata Coffee,1040.0,Café,Offline,High,Balanced,Medium,Very Unlikely,130.0,Medium
26.0,Male,Mumbai,Private Sector Employee,29100.0,Daily,Other,Café Coffee Day,410.0,Supermarket/Grocery Store,Offline,High,Balanced,High,Neutral,300.0,High
41.0,Male,Nagpur,Teacher/Professor,37100.0,1-2 times/week,Cappuccino,Tata Coffee,460.0,Café,Offline,Low,Balanced,Medium,Likely,130.0,High
40.0,Male,Pune,Private Sector Employee,52100.0,Rarely,Cappuccino,Nescafé,210.0,Local Kirana Store,Offline,High,Strong,Medium,Neutral,300.0,Low
24.0,Male,Chennai,Private Sector Employee,44500.0,1-2 times/week,Other,Blue Tokai,310.0,Supermarket/Grocery Store,Offline,High,Balanced,High,Likely,130.0,High
23.0,Male,Pune,Student,7500.0,1-2 times/week,Mocha,Starbucks,410.0,Local Kirana Store,Offline,Medium,Balanced,High,Likely,300.0,High
35.0,Male,Delhi,Student,12800.0,Daily,Filter Coffee,Starbucks,340.0,Café,Both,Medium,Strong,Low,Likely,300.0,Medium
37.0,Female,Mumbai,IT Professional,89600.0,1-2 times/week,Instant Coffee,Bru,430.0,Café,Both,Medium,Strong,Medium,Very Likely,90.0,High
28.0,Male,Lucknow,Student,12200.0,Daily,Instant Coffee,Tata Coffee,440.0,Café,Offline,High,Bitter,High,Likely,450.0,High
41.0,Female,Nagpur,Government Employee,39600.0,3-4 times/week,Cappuccino,Country Bean,700.0,Supermarket/Grocery Store,Offline,Medium,Sweet,Medium,Unlikely,130.0,Medium
29.0,Male,Chennai,Teacher/Professor,44100.0,3-4 times/week,Filter Coffee,Tata Coffee,500.0,Café,Both,Medium,Balanced,High,Unlikely,90.0,Medium
18.0,Female,Pune,IT Professional,67400.0,Daily,Cold Coffee,Café Coffee Day,1020.0,Online Marketplace,Online,Medium,Strong,High,Neutral,130.0,High
18.0,Male,Jaipur,Private Sector Employee,32500.0,1-2 times/week,Filter Coffee,Bru,270.0,Café,Both,Medium,Strong,Medium,Very Likely,700.0,High
45.0,Male,Delhi,Government Employee,68300.0,3-4 times/week,Cappuccino,Bru,690.0,Local Kirana Store,Both,High,Balanced,Low,Likely,450.0,Low
34.0,Male,Visakhapatnam,Private Sector Employee,58000.0,Daily,Cold Coffee,Nescafé,1050.0,Café,Offline,Medium,Strong,High,Neutral,130.0,High
24.0,Male,Patna,IT Professional,51500.0,Rarely,Instant Coffee,Other,210.0,Supermarket/Grocery Store,Offline,High,Balanced,Low,Neutral,300.0,Medium
45.0,Female,Ahmedabad,Student,14500.0,Daily,Espresso,Bru,800.0,Café,Offline,Low,Mild,Low,Very Likely,700.0,High
23.0,Male,Chandigarh,Homemaker,22200.0,Daily,Instant Coffee,Other,530.0,Supermarket/Grocery Store,Offline,Medium,Strong,Medium,Likely,130.0,Medium
28.0,Female,Visakhapatnam,Private Sector Employee,53000.0,3-4 times/week,Americano,Nescafé,590.0,Online Marketplace,Online,Medium,Balanced,Medium,Likely,300.0,Medium
28.0,Male,Kolkata,Private Sector Employee,53400.0,Multiple times/day,Cappuccino,Bru,1350.0,Supermarket/Grocery Store,Offline,Low,Strong,High,Very Unlikely,300.0,Medium
30.0,Prefer not to say,Chandigarh,Private Sector Employee,41400.0,1-2 times/week,Instant Coffee,Bru,300.0,Online Marketplace,Online,Low,Strong,Medium,Likely,90.0,Medium
34.0,Male,Mumbai,Business Owner,79700.0,Rarely,Cappuccino,Nescafé,310.0,Brand Website,Online,Low,Strong,Medium,Very Likely,450.0,Medium
22.0,Female,Pune,IT Professional,75400.0,1-2 times/week,Instant Coffee,Nescafé,410.0,Café,Offline,Low,Sweet,Medium,Unlikely,450.0,Medium
35.0,Female,Delhi,IT Professional,86200.0,Daily,Americano,Café Coffee Day,1010.0,Café,Offline,Medium,Balanced,Low,Likely,450.0,High
35.0,Male,Jaipur,Other,37200.0,3-4 times/week,Filter Coffee,Nescafé,480.0,Supermarket/Grocery Store,Offline,Low,Balanced,Medium,Likely,300.0,Medium
35.0,Female,Chennai,Private Sector Employee,33300.0,Rarely,Filter Coffee,Nescafé,140.0,Other,Offline,Low,Strong,Medium,Neutral,300.0,Low
25.0,Male,Kolkata,Private Sector Employee,40700.0,Daily,Espresso,Tata Coffee,910.0,Brand Website,Online,Medium,Sweet,Low,Very Likely,300.0,High
41.0,Male,Hyderabad,Private Sector Employee,46300.0,1-2 times/week,Instant Coffee,Tata Coffee,260.0,Online Marketplace,Online,High,Strong,Medium,Very Likely,300.0,Medium
18.0,Male,Mumbai,Private Sector Employee,27800.0,3-4 times/week,Filter Coffee,Third Wave Coffee,410.0,Local Kirana Store,Offline,Medium,Sweet,Medium,Likely,300.0,Medium
18.0,Female,Mumbai,IT Professional,61800.0,3-4 times/week,Americano,Bru,720.0,Supermarket/Grocery Store,Offline,Medium,Strong,Medium,Likely,450.0,High
23.0,Male,Patna,Student,8100.0,1-2 times/week,Mocha,Bru,450.0,Local Kirana Store,Both,High,Strong,Medium,Very Likely,300.0,Medium
18.0,Female,Visakhapatnam,Teacher/Professor,28100.0,Daily,Latte,Café Coffee Day,800.0,Café,Offline,Medium,Sweet,Low,Likely,130.0,Medium
40.0,Female,Mumbai,Private Sector Employee,66800.0,3-4 times/week,Cappuccino,Nescafé,570.0,Local Kirana Store,Offline,High,Sweet,Medium,Likely,700.0,Medium
48.0,Male,Hyderabad,Healthcare Professional,80700.0,Rarely,Instant Coffee,Tata Coffee,200.0,Supermarket/Grocery Store,Offline,Medium,Mild,Low,Likely,700.0,Low
27.0,Female,Delhi,IT Professional,95700.0,3-4 times/week,Cappuccino,Nescafé,870.0,Local Kirana Store,Offline,High,Strong,Medium,Unlikely,130.0,Medium
18.0,Female,Bengaluru,Other,28900.0,1-2 times/week,Filter Coffee,Tata Coffee,230.0,Café,Both,High,Strong,Low,Likely,450.0,Medium
18.0,Male,Bhubaneswar,Government Employee,43300.0,1-2 times/week,Cappuccino,Blue Tokai,440.0,Online Marketplace,Online,Medium,Balanced,Medium,Neutral,130.0,Low
23.0,Male,Patna,IT Professional,67400.0,3-4 times/week,Filter Coffee,Bru,580.0,Local Kirana Store,Offline,Medium,Balanced,Low,Neutral,300.0,Medium
39.0,Female,Ahmedabad,Government Employee,59300.0,Multiple times/day,Cappuccino,Blue Tokai,1340.0,Supermarket/Grocery Store,Offline,Low,Strong,Low,Likely,300.0,High
40.0,Non-binary/Other,Pune,IT Professional,55300.0,1-2 times/week,Americano,Tata Coffee,410.0,Café,Offline,Low,Balanced,Medium,Neutral,700.0,Medium
36.0,Male,Bengaluru,IT Professional,81500.0,1-2 times/week,Cold Coffee,Café Coffee Day,550.0,Online Marketplace,Online,High,Balanced,Low,Likely,130.0,Medium
24.0,Female,Mumbai,IT Professional,97100.0,Daily,Americano,Nescafé,1110.0,Office/Canteen,Offline,Low,Sweet,Low,Very Likely,450.0,Medium
26.0,Male,Ahmedabad,Private Sector Employee,52300.0,Daily,Latte,Nescafé,900.0,Supermarket/Grocery Store,Offline,High,Sweet,Low,Unlikely,90.0,Medium
28.0,Male,Mumbai,Student,6600.0,1-2 times/week,Filter Coffee,Café Coffee Day,180.0,Office/Canteen,Offline,Low,Balanced,High,Neutral,300.0,Medium
28.0,Female,Delhi,Student,10600.0,Rarely,Americano,Bru,180.0,Local Kirana Store,Both,Medium,Balanced,High,Very Likely,300.0,High
40.0,Female,Coimbatore,Student,12000.0,Multiple times/day,Instant Coffee,Bru,820.0,Online Marketplace,Online,High,Balanced,Medium,Likely,130.0,High
18.0,Male,Hyderabad,IT Professional,52500.0,Daily,Cold Coffee,Third Wave Coffee,700.0,Local Kirana Store,Both,Medium,Strong,Medium,Neutral,300.0,Medium
44.0,Male,Bengaluru,Private Sector Employee,48900.0,Daily,Cappuccino,Other,990.0,Supermarket/Grocery Store,Offline,Low,Balanced,Medium,Likely,130.0,High
36.0,Female,Hyderabad,Freelancer,27500.0,Daily,Cold Coffee,Café Coffee Day,540.0,Supermarket/Grocery Store,Offline,High,Strong,Low,Very Likely,450.0,High
30.0,Male,Jaipur,IT Professional,65300.0,Multiple times/day,Instant Coffee,Nescafé,900.0,Café,Both,Medium,Mild,High,Neutral,300.0,High
23.0,Female,Delhi,IT Professional,71200.0,1-2 times/week,Espresso,Nescafé,580.0,Online Marketplace,Online,Low,Strong,High,Very Likely,450.0,Medium
28.0,Male,Mumbai,IT Professional,75800.0,1-2 times/week,Filter Coffee,Blue Tokai,310.0,Online Marketplace,Online,High,Balanced,Medium,Very Likely,90.0,Medium
40.0,Prefer not to say,Hyderabad,IT Professional,85700.0,3-4 times/week,Latte,Sleepy Owl,920.0,Supermarket/Grocery Store,Offline,High,Balanced,Medium,Unlikely,450.0,Low
41.0,Female,Mumbai,Private Sector Employee,58200.0,1-2 times/week,Cappuccino,Bru,500.0,Café,Offline,Medium,Balanced,Medium,Unlikely,130.0,Low
