city,monthlyCoffeeSpend,income,young_share,adoption_signal,purchase_intention,premium_brand_share,online_share,premium_type_share,city_tier,cafe_density,income_index,competitor_count,ecommerce_pct,spending_score,city_strength_score,adoption_score,trend_score,market_entry_score,rank
Kanpur,490.0,48826.8352365416,0.5,1.0,0.5,0.0,0.5,0.0,3,20.46,30397.05,2.09,37.01,0.0,0.08474896204086269,1.0,0.5011690251166099,0.39647949678936817,11
Bhopal,555.819397993311,49566.22073578595,0.5351170568561873,0.6354515050167224,0.6672240802675585,0.38461538461538464,0.14046822742474915,0.0,2,28.428035290621423,58567.40207895621,4.268318024772864,56.0439396150808,0.6008630017620542,0.2960656801987571,0.15302505357178628,0.5011690251166099,0.3877806901623019,12
Visakhapatnam,560.2448979591836,44913.87755102041,0.49795918367346936,0.636734693877551,0.6816326530612244,0.363265306122449,0.15510204081632653,0.0,2,43.13811040057837,46851.11629335226,6.226191556898454,42.317381190502594,0.6412632374807452,0.2359542620431708,0.15600635463766344,0.5011690251166099,0.38359821981954734,13
Jaipur,554.4320297951583,45941.340782122905,0.5288640595903166,0.62756052141527,0.6675977653631285,0.40409683426443205,0.16759776536312848,0.0,2,21.951547789558383,68722.13843133333,11.690688297671034,56.167946962329225,0.5881977655929853,0.3042575828839644,0.13469151083308237,0.5011690251166099,0.3820789711066605,14
Nagpur,568.6632390745501,47848.32904884319,0.506426735218509,0.5809768637532133,0.6670951156812339,0.4138817480719794,0.16709511568123395,0.0,2,36.40130838029839,49621.361388138175,11.726261649881026,55.502656467222295,0.71811398158737,0.27965072519381645,0.02646121638471128,0.5011690251166099,0.38134873707062694,15
Surat,563.0769230769231,47375.596816976125,0.5358090185676393,0.5702917771883289,0.6843501326259946,0.4376657824933687,0.17771883289124668,0.0,2,23.66114704534337,57379.42275278176,3.3094966900369656,58.186408041575646,0.6671166965701676,0.28505033869399976,0.0016359853237821913,0.5011690251166099,0.36374301142613985,16
Patna,559.5569620253165,50006.962025316454,0.43670886075949367,0.6075949367088608,0.6661392405063291,0.39556962025316456,0.14556962025316456,0.0,2,22.236519310393124,69672.17341501293,9.950202923669917,43.97431363068345,0.6349830941970676,0.21737298818510298,0.08830440385052689,0.5011690251166099,0.3604573778373268,17
Kochi,561.2371134020618,48588.9175257732,0.5335051546391752,0.5695876288659794,0.6701030927835051,0.4097938144329897,0.16494845360824742,0.0,2,31.660318690684463,51783.7257943474,10.458637582367365,47.135066533871786,0.6503211378502237,0.24808632261636854,0.0,0.5011690251166099,0.34989412139580056,18
Bhubaneswar,533.3454545454546,48660.0,0.48363636363636364,0.6509090909090909,0.6963636363636364,0.37454545454545457,0.21454545454545454,0.0,2,20.165663513708072,65386.53571137085,9.361716094628555,54.58014336081975,0.3956991513895243,0.2608599738102805,0.18893848666303756,0.5011690251166099,0.33666665924486305,19
Chandigarh,547.7513227513227,49654.2328042328,0.5264550264550265,0.58994708994709,0.6626984126984127,0.3915343915343915,0.13756613756613756,0.0,2,22.654775061557583,49899.57156047863,3.4070456001948424,46.50660661526528,0.5272098226667997,0.20554627274178963,0.047302220954915736,0.5011690251166099,0.32030683537002874,20
Indore,531.9240506329114,47461.012658227846,0.5443037974683544,0.579746835443038,0.6341772151898735,0.4430379746835443,0.1518987341772152,0.0,2,27.763399448000506,61563.05710884955,5.805399684804699,50.40136042355621,0.3827232043640926,0.2843462236213111,0.02360342605927387,0.5011690251166099,0.29796046979032187,21
Ranchi,490.0,48826.8352365416,1.0,,0.0,0.0,0.0,0.0,3,21.63,37692.93,2.0,23.44,0.0,0.2784266747358266,0.13242732784202058,0.5011690251166099,0.22800575692361427,22
